satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
dissatisfied,disloyal Customer,27,Business travel,Eco Plus,2157,2,2,4,5,5,5,5,4,3,1,2,5,0,0.0
satisfied,Loyal Customer,37,Business travel,Business,1949,2,2,2,2,4,4,4,4,4,5,4,3,0,0.0
satisfied,disloyal Customer,44,Business travel,Business,2041,5,5,4,5,5,5,4,2,5,4,4,5,21,5.0
satisfied,Loyal Customer,14,Personal Travel,Business,2586,4,4,4,4,5,4,2,4,1,5,1,4,66,36.0
satisfied,Loyal Customer,52,Business travel,Business,633,3,4,3,2,4,5,5,5,5,4,5,5,0,7.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,2228,2,4,4,4,5,4,2,3,3,5,3,5,142,146.0
satisfied,Loyal Customer,70,Personal Travel,Eco,2178,5,5,5,5,5,5,5,4,5,3,5,5,22,31.0
satisfied,Loyal Customer,7,Personal Travel,Eco,2247,0,0,4,4,4,4,4,4,4,4,4,4,0,0.0
satisfied,Loyal Customer,37,Business travel,Eco,1838,3,3,3,4,4,4,4,3,5,4,1,4,3,0.0
satisfied,Loyal Customer,59,Business travel,Business,2699,1,1,1,3,4,4,4,4,4,5,4,3,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,2368,4,0,4,3,4,5,5,5,5,4,5,3,0,0.0
dissatisfied,Loyal Customer,15,Personal Travel,Eco,1884,5,3,1,3,3,3,4,3,5,3,5,3,0,0.0
satisfied,Loyal Customer,44,Personal Travel,Eco,945,2,2,2,2,4,3,3,3,3,5,3,4,0,0.0
satisfied,Loyal Customer,49,Business travel,Business,2519,2,2,2,5,4,5,4,3,4,4,4,4,0,38.0
dissatisfied,disloyal Customer,35,Business travel,Eco,2575,2,2,4,5,5,5,2,5,4,4,3,5,0,0.0
satisfied,Loyal Customer,52,Business travel,Business,958,5,5,5,3,4,5,5,5,5,4,5,3,0,0.0
dissatisfied,disloyal Customer,27,Business travel,Business,881,1,1,4,5,5,5,3,3,4,3,4,5,0,13.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1653,0,2,2,3,3,3,4,2,5,3,5,3,0,0.0
satisfied,Loyal Customer,52,Business travel,Business,726,2,2,2,2,4,5,5,5,5,5,5,4,0,0.0
satisfied,Loyal Customer,64,Business travel,Business,1633,5,5,5,3,4,5,5,5,5,3,5,4,3,0.0
dissatisfied,Loyal Customer,63,Business travel,Eco,1264,4,2,4,1,1,1,4,5,3,3,3,1,0,0.0
satisfied,Loyal Customer,22,Business travel,Eco Plus,1654,1,3,1,5,3,5,4,4,1,3,2,5,0,4.0
satisfied,Loyal Customer,40,Business travel,Business,749,5,5,5,4,4,2,2,2,2,4,2,3,37,36.0
satisfied,Loyal Customer,48,Business travel,Business,2622,1,1,1,5,5,5,5,4,5,3,5,3,0,0.0
satisfied,Loyal Customer,50,Business travel,Business,106,3,5,5,2,1,3,3,4,4,4,3,2,22,24.0
dissatisfied,Loyal Customer,62,Business travel,Eco,2398,1,1,1,2,2,2,3,4,3,1,3,2,5,3.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,882,5,3,4,5,4,2,2,3,2,4,2,4,0,0.0
dissatisfied,disloyal Customer,36,Business travel,Business,1590,3,3,4,4,4,4,5,5,5,4,4,4,14,5.0
satisfied,disloyal Customer,23,Business travel,Business,2502,0,5,3,5,2,5,4,4,5,3,5,5,6,18.0
satisfied,Loyal Customer,28,Business travel,Eco,2365,2,2,2,5,5,5,3,2,5,1,2,5,43,39.0
satisfied,Loyal Customer,58,Business travel,Business,1628,4,4,4,2,5,5,5,5,5,5,5,4,0,0.0
satisfied,Loyal Customer,22,Personal Travel,Eco,1672,2,2,2,4,4,5,5,5,5,4,5,4,0,0.0
satisfied,Loyal Customer,65,Personal Travel,Eco,934,2,2,2,5,5,5,4,2,5,5,4,5,8,6.0
dissatisfied,disloyal Customer,24,Business travel,Business,1659,2,4,3,3,3,3,2,2,4,4,4,3,4,2.0
satisfied,Loyal Customer,34,Personal Travel,Eco,2302,3,5,3,1,1,1,3,2,4,1,4,1,0,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,2716,5,1,3,1,1,1,5,3,5,3,4,1,11,4.0
dissatisfied,Loyal Customer,29,Business travel,Business,1352,1,3,3,1,1,1,2,5,4,2,3,1,6,8.0
satisfied,Loyal Customer,36,Business travel,Business,414,3,3,3,1,4,5,5,5,5,4,5,5,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,980,3,3,3,2,4,5,5,5,5,4,5,5,42,49.0
satisfied,Loyal Customer,56,Business travel,Business,3190,0,0,3,5,5,5,5,5,5,3,5,5,21,3.0
satisfied,Loyal Customer,59,Business travel,Business,3723,2,2,2,3,5,5,5,5,5,4,5,3,55,49.0
satisfied,Loyal Customer,44,Business travel,Eco,2086,2,2,2,5,5,5,4,2,2,2,3,5,0,0.0
dissatisfied,Loyal Customer,23,Business travel,Eco,3146,5,5,5,1,1,1,2,1,1,3,1,1,1,24.0
satisfied,Loyal Customer,59,Business travel,Business,3664,5,5,5,3,4,4,4,5,4,4,4,4,32,19.0
satisfied,Loyal Customer,57,Business travel,Eco,462,1,1,1,2,3,3,3,3,3,2,3,5,61,59.0
satisfied,disloyal Customer,23,Business travel,Business,2007,0,4,1,5,5,5,5,5,4,3,5,5,11,3.0
dissatisfied,disloyal Customer,33,Business travel,Business,1895,4,4,2,3,3,3,4,3,5,3,5,3,41,76.0
satisfied,Loyal Customer,48,Business travel,Eco Plus,1532,3,3,3,5,5,5,2,5,5,3,1,5,0,0.0
dissatisfied,Loyal Customer,50,Business travel,Business,200,2,2,2,1,4,3,3,3,2,1,3,1,0,0.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1352,0,0,3,4,4,4,5,5,1,4,5,4,0,0.0
satisfied,Loyal Customer,49,Business travel,Business,1446,1,1,1,2,5,4,4,4,4,4,4,3,14,5.0
satisfied,Loyal Customer,54,Business travel,Business,71,5,0,3,3,5,1,1,1,1,4,1,4,0,0.0
dissatisfied,disloyal Customer,28,Business travel,Eco,2147,3,3,3,2,2,2,3,5,3,1,3,2,5,5.0
dissatisfied,disloyal Customer,22,Business travel,Eco,2066,5,1,3,5,5,5,5,4,5,4,5,5,0,0.0
dissatisfied,Loyal Customer,17,Personal Travel,Eco,3563,2,2,3,2,4,1,1,4,3,4,2,4,164,162.0
dissatisfied,disloyal Customer,29,Business travel,Eco Plus,2451,3,3,5,4,4,4,4,5,3,1,1,4,1,2.0
dissatisfied,disloyal Customer,21,Business travel,Eco,2351,0,4,3,4,4,4,1,1,3,2,3,4,0,0.0
dissatisfied,disloyal Customer,22,Business travel,Eco,2750,2,2,4,2,3,1,5,3,3,3,4,3,123,134.0
dissatisfied,disloyal Customer,27,Business travel,Eco,1625,3,1,1,5,5,5,3,5,1,3,2,5,0,0.0
satisfied,Loyal Customer,27,Business travel,Business,4437,1,2,2,4,4,4,4,2,5,3,5,4,15,18.0
satisfied,Loyal Customer,50,Business travel,Business,678,5,5,5,2,4,4,4,4,4,5,4,4,0,0.0
dissatisfied,Loyal Customer,43,Business travel,Business,1118,1,1,1,4,3,3,3,3,3,3,3,1,33,37.0
satisfied,disloyal Customer,24,Business travel,Business,2151,0,3,3,3,4,3,4,2,4,4,5,3,0,1.0
satisfied,Loyal Customer,29,Personal Travel,Business,2032,5,5,5,5,2,4,4,4,4,4,4,3,61,44.0
dissatisfied,disloyal Customer,37,Business travel,Business,1808,4,4,1,3,1,3,3,5,5,3,5,3,0,0.0
satisfied,Loyal Customer,23,Personal Travel,Eco,2751,3,3,3,4,2,5,5,5,5,4,5,3,112,95.0
satisfied,Loyal Customer,57,Business travel,Business,492,2,2,2,3,5,4,4,5,4,5,4,5,0,0.0
dissatisfied,disloyal Customer,18,Business travel,Eco,1664,0,1,4,4,4,4,2,2,4,2,2,4,25,21.0
dissatisfied,disloyal Customer,29,Business travel,Eco,1599,1,1,2,5,5,5,1,5,1,2,1,5,0,0.0
dissatisfied,Loyal Customer,55,Business travel,Business,2174,1,1,1,2,3,3,3,3,1,3,3,2,0,0.0
satisfied,Loyal Customer,49,Business travel,Business,3793,2,2,2,3,4,5,5,5,5,3,5,5,0,0.0
dissatisfied,disloyal Customer,43,Business travel,Eco,1441,3,2,2,5,5,5,4,2,3,1,3,5,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,2434,2,5,2,2,5,5,5,5,5,5,5,3,0,0.0
satisfied,Loyal Customer,44,Business travel,Business,1445,1,1,1,4,5,4,4,4,4,4,4,3,0,39.0
satisfied,Loyal Customer,27,Business travel,Business,3589,4,4,4,5,5,5,3,3,5,5,5,5,18,6.0
satisfied,Loyal Customer,41,Business travel,Business,2857,1,1,1,1,4,4,4,4,4,1,4,4,8,7.0
satisfied,Loyal Customer,53,Business travel,Business,2344,3,3,3,4,3,2,2,2,2,5,2,5,0,20.0
satisfied,disloyal Customer,44,Business travel,Business,1606,5,5,1,5,5,5,3,3,5,5,5,5,0,0.0
satisfied,Loyal Customer,36,Personal Travel,Eco,2192,2,2,2,3,4,4,4,4,5,3,4,4,8,0.0
dissatisfied,Loyal Customer,19,Business travel,Eco Plus,2092,3,3,3,1,3,1,3,3,4,2,3,1,0,0.0
satisfied,Loyal Customer,60,Business travel,Business,936,1,1,1,2,5,4,4,4,4,5,4,5,0,0.0
dissatisfied,Loyal Customer,21,Personal Travel,Eco,2244,4,3,1,5,5,5,5,2,5,3,4,5,24,22.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,2135,4,2,3,3,3,3,4,4,4,4,4,3,0,0.0
satisfied,Loyal Customer,40,Business travel,Business,2068,2,2,2,5,2,4,4,4,4,4,4,2,16,65.0
satisfied,Loyal Customer,52,Business travel,Eco,2307,3,3,3,4,4,4,5,3,1,5,4,4,0,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,1472,3,3,2,2,2,2,1,1,2,5,1,2,0,0.0
dissatisfied,disloyal Customer,19,Business travel,Eco,2028,4,3,4,5,5,5,5,2,4,3,4,5,0,0.0
dissatisfied,Loyal Customer,51,Personal Travel,Eco,1777,4,2,3,1,1,1,4,4,4,5,4,1,0,0.0
dissatisfied,Loyal Customer,26,Business travel,Eco,1896,4,4,4,1,2,1,4,3,3,2,3,1,0,0.0
satisfied,Loyal Customer,34,Business travel,Business,585,4,4,4,1,3,5,5,5,5,3,5,2,101,86.0
satisfied,Loyal Customer,58,Business travel,Business,1898,2,2,2,5,5,5,5,5,5,5,5,5,4,0.0
satisfied,Loyal Customer,43,Business travel,Business,2063,3,3,3,3,1,5,5,5,5,4,5,5,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,2551,3,3,3,2,5,4,4,4,4,3,4,5,0,0.0
satisfied,Loyal Customer,21,Personal Travel,Eco,1272,4,4,4,4,4,3,3,3,3,4,3,4,34,19.0
satisfied,Loyal Customer,39,Personal Travel,Eco,1850,4,4,4,4,5,5,5,5,5,3,5,3,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,3233,5,2,5,3,4,5,5,5,5,3,5,4,0,6.0
dissatisfied,Loyal Customer,65,Business travel,Eco,1246,3,3,3,4,4,4,2,3,2,3,2,4,27,13.0
dissatisfied,Loyal Customer,70,Personal Travel,Eco,2228,5,3,4,2,2,2,3,4,4,4,5,2,7,0.0
dissatisfied,Loyal Customer,24,Personal Travel,Eco,2802,1,4,4,2,2,2,3,5,4,4,3,2,0,0.0
dissatisfied,Loyal Customer,22,Business travel,Business,2973,3,3,3,2,2,2,4,4,3,3,3,2,34,20.0
dissatisfied,disloyal Customer,46,Business travel,Eco,2010,1,2,3,2,2,2,1,2,4,2,4,2,0,0.0
satisfied,Loyal Customer,40,Business travel,Business,1003,3,3,3,5,5,5,5,5,5,5,5,3,0,10.0
dissatisfied,Loyal Customer,41,Business travel,Eco,1587,5,5,5,1,1,1,1,3,2,1,3,1,149,133.0
dissatisfied,Loyal Customer,7,Personal Travel,Business,1504,2,2,3,2,2,2,4,2,4,1,4,2,12,10.0
dissatisfied,disloyal Customer,27,Business travel,Eco,1603,2,4,1,2,2,2,2,1,1,4,1,2,6,4.0
satisfied,Loyal Customer,40,Business travel,Business,1743,5,5,5,3,4,5,5,5,5,5,5,5,28,14.0
dissatisfied,Loyal Customer,65,Business travel,Business,488,1,5,1,4,4,2,2,2,2,1,2,3,2,0.0
satisfied,Loyal Customer,53,Business travel,Business,2362,3,3,3,2,4,5,5,5,5,5,5,4,0,0.0
satisfied,Loyal Customer,61,Personal Travel,Eco,3034,4,4,3,2,5,2,3,2,4,3,5,2,6,3.0
dissatisfied,Loyal Customer,68,Personal Travel,Eco Plus,983,1,4,1,1,2,3,3,4,3,2,3,4,0,0.0
dissatisfied,Loyal Customer,68,Personal Travel,Business,558,5,2,4,3,1,3,3,2,3,3,3,3,0,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2603,1,3,1,2,2,2,1,4,2,3,1,2,0,0.0
satisfied,Loyal Customer,51,Personal Travel,Eco,513,4,4,4,4,5,4,4,4,4,5,4,4,1,30.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,1384,5,3,1,4,4,4,1,2,1,1,3,4,8,4.0
dissatisfied,Loyal Customer,46,Business travel,Eco,2269,4,4,4,1,1,1,4,3,3,4,4,1,0,0.0
satisfied,Loyal Customer,35,Personal Travel,Eco,1425,3,1,3,1,2,4,4,4,4,4,4,5,48,31.0
dissatisfied,Loyal Customer,18,Personal Travel,Eco Plus,1639,0,1,4,2,2,2,1,2,4,1,4,2,3,25.0
satisfied,Loyal Customer,61,Business travel,Business,3122,1,2,2,3,4,5,5,5,5,1,5,4,0,0.0
dissatisfied,disloyal Customer,28,Business travel,Eco,1857,2,2,3,5,5,5,1,5,3,2,3,5,0,0.0
dissatisfied,disloyal Customer,27,Business travel,Eco Plus,1599,3,3,4,1,1,1,4,5,3,3,4,1,15,11.0
satisfied,Loyal Customer,9,Personal Travel,Eco,2451,4,4,3,4,4,4,4,4,4,5,5,4,0,0.0
satisfied,Loyal Customer,55,Business travel,Business,3104,5,5,5,4,5,5,5,5,5,4,5,5,1,0.0
satisfied,disloyal Customer,23,Business travel,Eco,1605,0,0,2,2,2,2,3,2,3,2,2,2,6,4.0
dissatisfied,Loyal Customer,47,Business travel,Eco,276,4,4,4,3,2,2,2,2,2,1,2,1,0,0.0
satisfied,Loyal Customer,29,Business travel,Eco,2373,3,3,3,4,4,4,2,5,3,5,2,4,0,0.0
dissatisfied,Loyal Customer,41,Business travel,Eco Plus,2413,1,1,1,3,3,3,3,3,4,1,4,3,0,0.0
dissatisfied,Loyal Customer,19,Personal Travel,Eco,3515,4,3,1,3,4,3,2,5,5,4,3,4,0,0.0
satisfied,Loyal Customer,54,Personal Travel,Eco,1639,4,4,4,3,3,3,5,4,5,4,5,3,0,8.0
satisfied,Loyal Customer,11,Personal Travel,Eco,2181,5,4,3,2,2,2,5,3,5,5,5,2,8,0.0
dissatisfied,disloyal Customer,9,Business travel,Eco,1958,1,1,2,3,3,3,1,4,3,1,2,3,0,0.0
satisfied,Loyal Customer,38,Business travel,Business,424,3,3,3,3,5,4,4,4,4,2,4,2,0,0.0
satisfied,Loyal Customer,31,Business travel,Business,1620,4,4,4,4,4,4,3,1,3,3,4,4,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,2562,5,5,5,2,4,3,3,3,3,4,3,5,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,2707,1,1,1,5,4,5,5,5,5,3,5,5,0,2.0
satisfied,disloyal Customer,40,Business travel,Business,1955,4,4,3,4,4,4,1,1,1,3,4,4,0,0.0
dissatisfied,Loyal Customer,41,Personal Travel,Eco,1950,2,2,4,4,4,4,2,4,4,1,3,4,26,10.0
satisfied,Loyal Customer,7,Personal Travel,Eco,2031,3,3,3,5,4,3,3,4,3,5,3,4,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,4489,3,3,3,5,5,5,1,3,1,5,1,5,186,209.0
satisfied,Loyal Customer,23,Business travel,Business,5461,3,2,3,4,4,4,3,4,4,5,4,4,79,70.0
dissatisfied,Loyal Customer,67,Business travel,Business,2714,2,2,2,3,3,3,3,3,2,2,3,3,47,38.0
dissatisfied,disloyal Customer,31,Business travel,Eco,3156,4,4,3,5,5,5,4,5,3,3,3,5,8,0.0
dissatisfied,Loyal Customer,19,Personal Travel,Eco,1792,4,4,3,5,5,5,3,3,5,3,4,5,0,20.0
dissatisfied,disloyal Customer,22,Business travel,Eco,2248,4,4,3,5,5,5,3,5,5,3,5,5,0,0.0
satisfied,Loyal Customer,60,Business travel,Business,705,4,4,4,4,4,5,5,5,5,3,5,4,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,1460,3,4,3,4,4,4,4,1,4,1,4,4,0,0.0
satisfied,Loyal Customer,26,Personal Travel,Eco,1445,3,3,3,4,5,5,5,5,5,4,5,3,7,17.0
dissatisfied,Loyal Customer,51,Business travel,Eco,496,5,5,5,1,4,2,2,2,2,3,2,2,8,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,2179,5,1,4,2,2,2,3,5,3,5,4,2,0,10.0
satisfied,Loyal Customer,37,Personal Travel,Eco,1603,4,4,4,3,3,3,5,5,5,5,5,3,3,0.0
satisfied,Loyal Customer,36,Personal Travel,Eco Plus,1536,1,4,1,5,4,4,4,4,4,4,4,3,0,0.0
dissatisfied,Loyal Customer,43,Personal Travel,Eco,1164,5,2,4,3,3,3,5,3,4,3,4,3,2,0.0
dissatisfied,disloyal Customer,28,Business travel,Business,1582,2,2,4,2,2,2,4,5,5,4,5,2,0,0.0
satisfied,Loyal Customer,31,Business travel,Business,1772,3,3,3,4,4,4,5,2,5,3,4,4,0,0.0
satisfied,Loyal Customer,10,Personal Travel,Eco,2584,5,5,5,3,4,5,5,5,5,5,5,3,0,0.0
satisfied,Loyal Customer,50,Business travel,Business,717,2,2,2,3,4,4,4,4,4,4,4,3,5,20.0
dissatisfied,Loyal Customer,27,Personal Travel,Eco,3154,4,3,3,2,3,2,4,2,5,3,4,2,19,12.0
satisfied,Loyal Customer,54,Business travel,Business,95,3,3,3,4,5,5,5,5,4,5,5,5,0,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2007,1,4,3,4,4,3,5,3,2,4,1,4,241,246.0
dissatisfied,Loyal Customer,70,Business travel,Business,1911,2,2,2,5,4,3,3,3,3,2,3,3,0,0.0
satisfied,Loyal Customer,54,Personal Travel,Eco,55,2,2,2,3,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,disloyal Customer,38,Business travel,Business,2969,1,1,4,4,4,4,4,2,5,3,4,4,29,23.0
satisfied,Loyal Customer,50,Business travel,Business,2465,2,5,5,3,4,5,5,5,5,5,5,4,0,1.0
satisfied,Loyal Customer,26,Business travel,Business,2776,5,5,5,4,4,4,3,3,5,5,4,4,56,34.0
dissatisfied,Loyal Customer,53,Personal Travel,Eco,1537,4,4,4,2,3,2,3,1,4,3,3,2,31,65.0
dissatisfied,Loyal Customer,55,Business travel,Eco,736,4,4,4,1,4,2,2,2,2,4,2,4,0,0.0
dissatisfied,Loyal Customer,58,Business travel,Business,2237,2,2,2,2,2,3,3,3,3,3,3,4,14,33.0
satisfied,disloyal Customer,21,Business travel,Eco,2655,5,5,4,5,5,5,3,5,5,4,2,5,0,0.0
satisfied,Loyal Customer,48,Business travel,Eco Plus,1409,4,4,4,4,4,4,3,5,1,2,2,4,0,0.0
dissatisfied,Loyal Customer,46,Personal Travel,Eco,2642,1,0,3,3,3,3,3,4,4,1,3,3,0,0.0
dissatisfied,Loyal Customer,46,Business travel,Eco,307,4,4,4,3,4,4,4,4,4,2,4,2,17,12.0
satisfied,Loyal Customer,56,Business travel,Business,1610,1,1,1,5,4,5,5,5,5,3,5,5,29,79.0
satisfied,Loyal Customer,34,Business travel,Business,728,1,1,1,3,5,4,4,4,4,3,4,5,0,0.0
satisfied,Loyal Customer,46,Business travel,Business,654,1,1,1,4,3,4,4,4,4,2,4,5,0,0.0
dissatisfied,disloyal Customer,42,Business travel,Business,3485,3,3,3,2,2,2,3,4,5,5,5,2,5,0.0
satisfied,disloyal Customer,40,Business travel,Business,1853,4,4,1,4,4,4,5,2,5,2,3,4,55,70.0
satisfied,Loyal Customer,51,Business travel,Business,722,2,2,2,2,5,4,4,4,4,4,4,5,0,0.0
satisfied,Loyal Customer,32,Personal Travel,Eco,2999,5,5,5,4,4,4,4,3,5,4,4,4,15,6.0
satisfied,Loyal Customer,70,Personal Travel,Eco,793,0,0,2,5,5,5,1,1,4,2,1,5,0,0.0
satisfied,Loyal Customer,44,Business travel,Business,2038,3,3,3,4,5,5,5,5,5,3,5,5,0,0.0
dissatisfied,Loyal Customer,38,Business travel,Eco,2376,4,4,4,3,3,3,4,3,4,1,4,3,21,17.0
satisfied,Loyal Customer,57,Personal Travel,Eco,430,1,1,1,4,5,5,5,5,5,4,5,5,10,0.0
dissatisfied,Loyal Customer,55,Business travel,Eco,2373,1,1,1,4,4,4,1,5,3,4,3,4,10,0.0
dissatisfied,Loyal Customer,46,Personal Travel,Eco,2453,1,1,1,3,5,3,1,4,1,2,2,3,3,15.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,1517,5,2,3,4,4,4,5,4,5,5,5,4,0,20.0
dissatisfied,Loyal Customer,42,Personal Travel,Eco,2951,4,1,1,3,4,3,4,4,4,5,4,3,0,6.0
satisfied,disloyal Customer,63,Personal Travel,Eco,1942,5,4,4,3,3,3,5,2,5,3,5,3,7,
satisfied,disloyal Customer,24,Business travel,Business,2150,0,4,3,4,4,4,4,4,5,3,5,4,0,0.0
satisfied,Loyal Customer,22,Personal Travel,Eco,1563,4,1,4,4,4,1,3,2,1,4,5,4,16,15.0
dissatisfied,Loyal Customer,51,Personal Travel,Eco,2013,4,5,3,3,2,3,5,1,3,2,3,3,3,4.0
satisfied,Loyal Customer,30,Personal Travel,Eco,2655,4,4,4,4,4,5,5,5,5,3,5,5,13,9.0
satisfied,Loyal Customer,56,Personal Travel,Eco,1006,4,4,4,5,5,5,5,4,4,3,5,5,27,64.0
satisfied,Loyal Customer,14,Personal Travel,Eco,2557,4,4,4,4,5,4,4,4,4,3,4,3,39,28.0
satisfied,Loyal Customer,27,Business travel,Business,3112,4,4,4,4,4,4,5,3,4,4,5,4,0,0.0
satisfied,Loyal Customer,60,Business travel,Business,3979,1,1,1,2,2,3,5,4,4,2,5,2,298,292.0
dissatisfied,disloyal Customer,80,Business travel,Business,620,3,3,3,4,4,5,5,3,5,4,5,4,0,0.0
satisfied,Loyal Customer,62,Business travel,Eco,2219,4,4,4,4,4,4,3,5,3,5,4,4,47,38.0
satisfied,Loyal Customer,39,Business travel,Business,2829,4,5,5,3,5,3,3,3,3,5,3,4,101,104.0
satisfied,Loyal Customer,58,Business travel,Business,2131,3,3,3,4,4,5,5,5,5,5,5,4,0,0.0
satisfied,Loyal Customer,21,Business travel,Business,4082,5,5,5,5,5,5,3,3,5,3,4,5,0,0.0
dissatisfied,Loyal Customer,56,Business travel,Eco Plus,2544,1,1,1,3,3,3,2,2,3,1,2,3,20,17.0
satisfied,Loyal Customer,20,Business travel,Business,2746,2,4,2,4,4,4,5,3,4,3,5,4,10,0.0
dissatisfied,Loyal Customer,69,Personal Travel,Eco Plus,1225,4,2,1,1,1,1,4,5,4,3,5,1,57,41.0
dissatisfied,disloyal Customer,22,Business travel,Eco,2122,0,3,4,2,2,2,4,5,2,5,4,2,0,2.0
satisfied,disloyal Customer,21,Business travel,Eco,2072,4,4,3,2,2,2,1,1,5,4,1,2,32,24.0
satisfied,Loyal Customer,46,Personal Travel,Eco,718,5,5,5,2,5,4,4,4,5,4,4,5,9,8.0
dissatisfied,Loyal Customer,43,Business travel,Eco,1493,4,4,4,2,2,2,2,2,2,1,2,1,4,11.0
dissatisfied,Loyal Customer,42,Business travel,Business,2994,4,4,4,1,4,1,1,1,1,4,1,3,0,3.0
satisfied,Loyal Customer,42,Business travel,Business,2901,2,3,2,2,4,4,4,4,4,3,4,5,0,0.0
dissatisfied,Loyal Customer,44,Personal Travel,Eco,2273,5,3,4,5,2,5,4,4,5,3,5,5,0,0.0
satisfied,Loyal Customer,24,Business travel,Business,4458,4,4,4,4,4,4,4,2,5,3,4,4,0,0.0
satisfied,Loyal Customer,29,Business travel,Eco Plus,2111,5,5,5,5,5,5,2,5,3,3,5,5,42,53.0
satisfied,Loyal Customer,51,Business travel,Business,3974,4,4,4,3,4,4,4,4,4,4,4,5,46,30.0
satisfied,Loyal Customer,36,Business travel,Business,878,4,4,4,3,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,disloyal Customer,45,Business travel,Business,1342,2,2,2,3,5,3,4,2,5,4,4,3,0,1.0
satisfied,Loyal Customer,47,Business travel,Business,2123,4,4,4,2,4,5,5,5,5,3,5,3,15,7.0
satisfied,Loyal Customer,46,Personal Travel,Eco,575,3,3,3,5,5,5,4,3,3,5,1,5,14,24.0
dissatisfied,Loyal Customer,44,Business travel,Eco Plus,200,2,2,2,2,3,2,2,2,2,2,2,1,23,20.0
dissatisfied,disloyal Customer,39,Business travel,Eco,1905,3,3,3,2,2,2,4,4,4,1,3,2,0,0.0
satisfied,Loyal Customer,54,Business travel,Eco,380,1,1,1,5,3,5,5,5,5,2,5,4,42,39.0
dissatisfied,Loyal Customer,69,Personal Travel,Eco,854,1,2,3,2,2,2,4,1,2,2,3,2,46,30.0
satisfied,Loyal Customer,41,Business travel,Business,1998,5,3,5,3,4,3,3,3,3,3,3,5,0,0.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,1239,4,3,4,2,4,2,2,3,2,4,2,4,0,
dissatisfied,Loyal Customer,55,Business travel,Business,2932,5,5,5,3,4,1,1,1,3,3,1,3,1,0.0
satisfied,Loyal Customer,49,Business travel,Business,1848,4,4,4,5,5,5,5,5,5,3,5,3,15,12.0
satisfied,Loyal Customer,59,Business travel,Business,2037,3,3,3,5,4,4,4,4,4,5,4,5,0,0.0
satisfied,disloyal Customer,26,Business travel,Business,1649,0,5,3,4,4,4,4,4,1,5,2,4,3,5.0
satisfied,Loyal Customer,48,Business travel,Business,266,1,1,1,5,4,4,4,4,4,4,4,4,1,0.0
satisfied,Loyal Customer,54,Personal Travel,Eco,1469,2,4,4,4,4,5,5,5,5,4,5,4,41,31.0
satisfied,Loyal Customer,53,Business travel,Business,3493,2,2,2,3,4,5,5,5,5,3,5,3,0,0.0
dissatisfied,disloyal Customer,29,Business travel,Eco,2254,1,1,3,1,1,1,4,5,4,1,4,1,77,73.0
dissatisfied,Loyal Customer,29,Business travel,Business,5058,2,2,2,3,3,3,1,4,4,2,4,3,2,8.0
satisfied,disloyal Customer,30,Business travel,Business,1801,5,5,3,5,5,5,4,5,4,5,5,5,0,0.0
dissatisfied,Loyal Customer,44,Business travel,Business,2738,4,3,3,1,1,2,1,4,3,1,1,1,27,39.0
satisfied,Loyal Customer,16,Business travel,Business,5278,4,4,4,3,3,3,4,5,2,2,3,3,2,14.0
dissatisfied,Loyal Customer,11,Business travel,Eco,3159,2,2,2,1,1,1,4,3,4,1,1,1,317,318.0
satisfied,Loyal Customer,47,Business travel,Business,2250,4,4,4,5,1,5,5,5,3,2,5,5,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,1861,3,3,3,3,5,5,5,5,5,2,5,1,0,4.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,2342,5,2,4,2,3,5,2,5,5,3,3,3,318,325.0
satisfied,Loyal Customer,35,Personal Travel,Eco Plus,1034,4,4,4,4,4,4,5,3,4,5,4,4,0,0.0
